4.0 0.0 0.0,3.999390780625565 0.06980962574913405 0.0,4.0 4.0 4.0
4.0 0.0 0.0,3.999390780625565 0.06980962574913405 0.0,4.0 4.0 -4.0
3.999390780625565 0.06980962574913405 0.0,3.997563308076383 0.13959798681000388 0.0,4.0 4.0 4.0
3.999390780625565 0.06980962574913405 0.0,3.997563308076383 0.13959798681000388 0.0,4.0 4.0 -4.0
3.997563308076383 0.13959798681000388 0.0,3.9945181390182953 0.20934382497177534 0.0,4.0 4.0 4.0
3.997563308076383 0.13959798681000388 0.0,3.9945181390182953 0.20934382497177534 0.0,4.0 4.0 -4.0
3.9945181390182953 0.20934382497177534 0.0,3.990256201039297 0.2790258949765012 0.0,4.0 4.0 4.0
3.9945181390182953 0.20934382497177534 0.0,3.990256201039297 0.2790258949765012 0.0,4.0 4.0 -4.0
3.990256201039297 0.2790258949765012 0.0,3.984778792366982 0.34862297099063266 0.0,4.0 4.0 4.0
3.990256201039297 0.2790258949765012 0.0,3.984778792366982 0.34862297099063266 0.0,4.0 4.0 -4.0
3.984778792366982 0.34862297099063266 0.0,3.978087581473093 0.4181138530706139 0.0,4.0 4.0 4.0
3.984778792366982 0.34862297099063266 0.0,3.978087581473093 0.4181138530706139 0.0,4.0 4.0 -4.0
3.978087581473093 0.4181138530706139 0.0,3.970184606565288 0.4874773736205899 0.0,4.0 4.0 4.0
3.978087581473093 0.4181138530706139 0.0,3.970184606565288 0.4874773736205899 0.0,4.0 4.0 -4.0
3.970184606565288 0.4874773736205899 0.0,3.9610722749662814 0.5566924038402618 0.0,4.0 4.0 4.0
3.970184606565288 0.4874773736205899 0.0,3.9610722749662814 0.5566924038402618 0.0,4.0 4.0 -4.0
3.9610722749662814 0.5566924038402618 0.0,3.950753362380551 0.6257378601609235 0.0,4.0 4.0 4.0
3.9610722749662814 0.5566924038402618 0.0,3.950753362380551 0.6257378601609235 0.0,4.0 4.0 -4.0
3.950753362380551 0.6257378601609235 0.0,3.939231012048832 0.6945927106677213 0.0,4.0 4.0 4.0
3.950753362380551 0.6257378601609235 0.0,3.939231012048832 0.6945927106677213 0.0,4.0 4.0 -4.0
3.939231012048832 0.6945927106677213 0.0,3.926508733790656 0.7632359815061792 0.0,4.0 4.0 4.0
3.939231012048832 0.6945927106677213 0.0,3.926508733790656 0.7632359815061792 0.0,4.0 4.0 -4.0
3.926508733790656 0.7632359815061792 0.0,3.9125904029352228 0.8316467632710374 0.0,4.0 4.0 4.0
3.926508733790656 0.7632359815061792 0.0,3.9125904029352228 0.8316467632710374 0.0,4.0 4.0 -4.0
3.9125904029352228 0.8316467632710374 0.0,3.897480259140941 0.89980421737546 0.0,4.0 4.0 4.0
3.9125904029352228 0.8316467632710374 0.0,3.897480259140941 0.89980421737546 0.0,4.0 4.0 -4.0
3.897480259140941 0.89980421737546 0.0,3.881182905103986 0.9676875823986709 0.0,4.0 4.0 4.0
3.897480259140941 0.89980421737546 0.0,3.881182905103986 0.9676875823986709 0.0,4.0 4.0 -4.0
3.881182905103986 0.9676875823986709 0.0,3.8637033051562732 1.035276180410083 0.0,4.0 4.0 4.0
3.881182905103986 0.9676875823986709 0.0,3.8637033051562732 1.035276180410083 0.0,4.0 4.0 -4.0
3.8637033051562732 1.035276180410083 0.0,3.8450467837532756 1.1025494232679967 0.0,4.0 4.0 4.0
3.8637033051562732 1.035276180410083 0.0,3.8450467837532756 1.1025494232679967 0.0,4.0 4.0 -4.0
3.8450467837532756 1.1025494232679967 0.0,3.8252190238521417 1.169486818890947 0.0,4.0 4.0 4.0
3.8450467837532756 1.1025494232679967 0.0,3.8252190238521417 1.169486818890947 0.0,4.0 4.0 -4.0
3.8252190238521417 1.169486818890947 0.0,3.804226065180614 1.2360679774997896 0.0,4.0 4.0 4.0
3.8252190238521417 1.169486818890947 0.0,3.804226065180614 1.2360679774997896 0.0,4.0 4.0 -4.0
3.804226065180614 1.2360679774997896 0.0,3.7820743023972674 1.3022726178286268 0.0,4.0 4.0 4.0
3.804226065180614 1.2360679774997896 0.0,3.7820743023972674 1.3022726178286268 0.0,4.0 4.0 -4.0
3.7820743023972674 1.3022726178286268 0.0,3.7587704831436337 1.3680805733026749 0.0,4.0 4.0 4.0
3.7820743023972674 1.3022726178286268 0.0,3.7587704831436337 1.3680805733026749 0.0,4.0 4.0 -4.0
3.7587704831436337 1.3680805733026749 0.0,3.734321705988807 1.433471798181201 0.0,4.0 4.0 4.0
3.7587704831436337 1.3680805733026749 0.0,3.734321705988807 1.433471798181201 0.0,4.0 4.0 -4.0
3.734321705988807 1.433471798181201 0.0,3.7087354182671497 1.498426373663648 0.0,4.0 4.0 4.0
3.734321705988807 1.433471798181201 0.0,3.7087354182671497 1.498426373663648 0.0,4.0 4.0 -4.0
3.7087354182671497 1.498426373663648 0.0,3.6820194138097615 1.562924513957095 0.0,4.0 4.0 4.0
3.7087354182671497 1.498426373663648 0.0,3.6820194138097615 1.562924513957095 0.0,4.0 4.0 -4.0
3.6820194138097615 1.562924513957095 0.0,3.6541818305704035 1.6269465723032008 0.0,4.0 4.0 4.0
3.6820194138097615 1.562924513957095 0.0,3.6541818305704035 1.6269465723032008 0.0,4.0 4.0 -4.0
