4.0 0.0 0.0,4.0 5.0 0.0,3.999390780625565 0.0 0.06980962574913405
4.0 5.0 0.0,3.999390780625565 0.0 0.06980962574913405,3.999390780625565 5.0 0.06980962574913405
3.999390780625565 0.0 0.06980962574913405,3.999390780625565 5.0 0.06980962574913405,3.997563308076383 0.0 0.13959798681000388
3.999390780625565 5.0 0.06980962574913405,3.997563308076383 0.0 0.13959798681000388,3.997563308076383 5.0 0.13959798681000388
3.997563308076383 0.0 0.13959798681000388,3.997563308076383 5.0 0.13959798681000388,3.9945181390182953 0.0 0.20934382497177534
3.997563308076383 5.0 0.13959798681000388,3.9945181390182953 0.0 0.20934382497177534,3.9945181390182953 5.0 0.20934382497177534
3.9945181390182953 0.0 0.20934382497177534,3.9945181390182953 5.0 0.20934382497177534,3.990256201039297 0.0 0.2790258949765012
3.9945181390182953 5.0 0.20934382497177534,3.990256201039297 0.0 0.2790258949765012,3.990256201039297 5.0 0.2790258949765012
3.990256201039297 0.0 0.2790258949765012,3.990256201039297 5.0 0.2790258949765012,3.984778792366982 0.0 0.34862297099063266
3.990256201039297 5.0 0.2790258949765012,3.984778792366982 0.0 0.34862297099063266,3.984778792366982 5.0 0.34862297099063266
3.984778792366982 0.0 0.34862297099063266,3.984778792366982 5.0 0.34862297099063266,3.978087581473093 0.0 0.4181138530706139
3.984778792366982 5.0 0.34862297099063266,3.978087581473093 0.0 0.4181138530706139,3.978087581473093 5.0 0.4181138530706139
3.978087581473093 0.0 0.4181138530706139,3.978087581473093 5.0 0.4181138530706139,3.970184606565288 0.0 0.4874773736205899
3.978087581473093 5.0 0.4181138530706139,3.970184606565288 0.0 0.4874773736205899,3.970184606565288 5.0 0.4874773736205899
3.970184606565288 0.0 0.4874773736205899,3.970184606565288 5.0 0.4874773736205899,3.9610722749662814 0.0 0.5566924038402618
3.970184606565288 5.0 0.4874773736205899,3.9610722749662814 0.0 0.5566924038402618,3.9610722749662814 5.0 0.5566924038402618
3.9610722749662814 0.0 0.5566924038402618,3.9610722749662814 5.0 0.5566924038402618,3.950753362380551 0.0 0.6257378601609235
3.9610722749662814 5.0 0.5566924038402618,3.950753362380551 0.0 0.6257378601609235,3.950753362380551 5.0 0.6257378601609235
3.950753362380551 0.0 0.6257378601609235,3.950753362380551 5.0 0.6257378601609235,3.939231012048832 0.0 0.6945927106677213
3.950753362380551 5.0 0.6257378601609235,3.939231012048832 0.0 0.6945927106677213,3.939231012048832 5.0 0.6945927106677213
3.939231012048832 0.0 0.6945927106677213,3.939231012048832 5.0 0.6945927106677213,3.926508733790656 0.0 0.7632359815061792
3.939231012048832 5.0 0.6945927106677213,3.926508733790656 0.0 0.7632359815061792,3.926508733790656 5.0 0.7632359815061792
3.926508733790656 0.0 0.7632359815061792,3.926508733790656 5.0 0.7632359815061792,3.9125904029352228 0.0 0.8316467632710374
3.926508733790656 5.0 0.7632359815061792,3.9125904029352228 0.0 0.8316467632710374,3.9125904029352228 5.0 0.8316467632710374
3.9125904029352228 0.0 0.8316467632710374,3.9125904029352228 5.0 0.8316467632710374,3.897480259140941 0.0 0.89980421737546
3.9125904029352228 5.0 0.8316467632710374,3.897480259140941 0.0 0.89980421737546,3.897480259140941 5.0 0.89980421737546
3.897480259140941 0.0 0.89980421737546,3.897480259140941 5.0 0.89980421737546,3.881182905103986 0.0 0.9676875823986709
3.897480259140941 5.0 0.89980421737546,3.881182905103986 0.0 0.9676875823986709,3.881182905103986 5.0 0.9676875823986709
3.881182905103986 0.0 0.9676875823986709,3.881182905103986 5.0 0.9676875823986709,3.8637033051562732 0.0 1.035276180410083
3.881182905103986 5.0 0.9676875823986709,3.8637033051562732 0.0 1.035276180410083,3.8637033051562732 5.0 1.035276180410083
3.8637033051562732 0.0 1.035276180410083,3.8637033051562732 5.0 1.035276180410083,3.8450467837532756 0.0 1.1025494232679967
3.8637033051562732 5.0 1.035276180410083,3.8450467837532756 0.0 1.1025494232679967,3.8450467837532756 5.0 1.1025494232679967
3.8450467837532756 0.0 1.1025494232679967,3.8450467837532756 5.0 1.1025494232679967,3.8252190238521417 0.0 1.169486818890947
3.8450467837532756 5.0 1.1025494232679967,3.8252190238521417 0.0 1.169486818890947,3.8252190238521417 5.0 1.169486818890947
3.8252190238521417 0.0 1.169486818890947,3.8252190238521417 5.0 1.169486818890947,3.804226065180614 0.0 1.2360679774997896
3.8252190238521417 5.0 1.169486818890947,3.804226065180614 0.0 1.2360679774997896,3.804226065180614 5.0 1.2360679774997896
3.804226065180614 0.0 1.2360679774997896,3.804226065180614 5.0 1.2360679774997896,3.7820743023972674 0.0 1.3022726178286268
3.804226065180614 5.0 1.2360679774997896,3.7820743023972674 0.0 1.3022726178286268,3.7820743023972674 5.0 1.3022726178286268
3.7820743023972674 0.0 1.3022726178286268,3.7820743023972674 5.0 1.3022726178286268,3.7587704831436337 0.0 1.3680805733026749
