0;676,192;0;676,192
5;702,186;0,155238;702,341
10;722,619;0,579484;723,199
15;737,413;1,20136;738,614
20;746,506;1,97458;748,481
25;749,86;2,96109;752,821
30;747,46;4,3562;751,816
35;739,317;6,33135;745,648
40;725,465;8,90984;734,375
45;705,962;12,0237;717,986
50;680,885;15,5876;696,473
55;650,325;19,5244;669,849
60;614,382;23,7669;638,148
65;573,162;28,2548;601,417
70;526,774;32,9318;559,705
75;475,333;37,7433;513,076
80;418,984;42,6348;461,618
85;357,956;47,5503;405,506
90;292,687;52,431;345,118
