#tr	v1,v2,v3,direction	plane	beta(rad)	Z_S(rad)	Area(m^2)
180	<3.6,0,-0.540111>,<3.6,3,-0.540111>,<3.65,0,-0.20507>,-1	<1.00512,-0,-0.150001>	1.42265	-1.5708	0.508127
181	<3.6,3,-0.540111>,<3.65,0,-0.20507>,<3.65,3,-0.20507>,-1	<-1.00512,-0,0.150001>	1.42265	-1.5708	0.508127
182	<3.65,0,-0.20507>,<3.65,3,-0.20507>,<3.7,0,0.135934>,-1	<1.02301,-0,-0.15>	1.42521	-1.5708	0.516975
183	<3.65,3,-0.20507>,<3.7,0,0.135934>,<3.7,3,0.135934>,-1	<-1.02301,-0,0.15>	1.42521	-1.5708	0.516975
184	<3.7,0,0.135934>,<3.7,3,0.135934>,<3.75,0,0.472985>,-1	<1.01115,-0,-0.15>	1.42353	-1.5708	0.511109
185	<3.7,3,0.135934>,<3.75,0,0.472985>,<3.75,3,0.472985>,-1	<-1.01115,-0,0.15>	1.42353	-1.5708	0.511109
186	<3.75,0,0.472985>,<3.75,3,0.472985>,<3.8,0,0.796282>,-1	<0.969891,-0,-0.15>	1.41736	-1.5708	0.490711
187	<3.75,3,0.472985>,<3.8,0,0.796282>,<3.8,3,0.796282>,-1	<-0.969891,-0,0.15>	1.41736	-1.5708	0.490711
188	<3.8,0,0.796282>,<3.8,3,0.796282>,<3.85,0,1.09642>,-1	<0.900414,-0,-0.15>	1.40572	-1.5708	0.456411
189	<3.8,3,0.796282>,<3.85,0,1.09642>,<3.85,3,1.09642>,-1	<-0.900414,-0,0.15>	1.40572	-1.5708	0.456411
190	<3.85,0,1.09642>,<3.85,3,1.09642>,<3.9,0,1.36468>,-1	<0.80478,-0,-0.150001>	1.38652	-1.5708	0.40932
191	<3.85,3,1.09642>,<3.9,0,1.36468>,<3.9,3,1.36468>,-1	<-0.80478,-0,0.150001>	1.38652	-1.5708	0.40932
192	<3.9,0,1.36468>,<3.9,3,1.36468>,<3.95,0,1.59325>,-1	<0.68571,-0,-0.15>	1.35544	-1.5708	0.350962
193	<3.9,3,1.36468>,<3.95,0,1.59325>,<3.95,3,1.59325>,-1	<-0.68571,-0,0.15>	1.35544	-1.5708	0.350962
194	<3.95,0,1.59325>,<3.95,3,1.59325>,<4,0,1.7755>,-1	<0.54675,-0,-0.15>	1.30304	-1.5708	0.283476
195	<3.95,3,1.59325>,<4,0,1.7755>,<4,3,1.7755>,-1	<-0.54675,-0,0.15>	1.30304	-1.5708	0.283476
196	<4,0,1.7755>,<4,3,1.7755>,<4.05,0,1.90611>,-1	<0.39183,-0,-0.150001>	1.20519	-1.5708	0.20978
197	<4,3,1.7755>,<4.05,0,1.90611>,<4.05,3,1.90611>,-1	<-0.39183,-0,0.150001>	1.20519	-1.5708	0.20978
198	<4.05,0,1.90611>,<4.05,3,1.90611>,<4.1,0,1.98129>,-1	<0.22554,-0,-0.149999>	0.983902	-1.5708	0.135433
199	<4.05,3,1.90611>,<4.1,0,1.98129>,<4.1,3,1.98129>,-1	<-0.22554,-0,0.149999>	0.983902	-1.5708	0.135433
200	<4.1,0,1.98129>,<4.1,3,1.98129>,<4.15,0,1.99886>,-1	<0.0527101,-0,-0.150001>	0.337921	-1.5708	0.0794961
201	<4.1,3,1.98129>,<4.15,0,1.99886>,<4.15,3,1.99886>,-1	<-0.0527101,-0,0.150001>	0.337921	-1.5708	0.0794961
202	<4.15,0,1.99886>,<4.15,3,1.99886>,<4.2,0,1.9583>,1	<-0.12168,0,-0.149999>	0.681536	1.5708	0.0965735
203	<4.15,3,1.99886>,<4.2,0,1.9583>,<4.2,3,1.9583>,1	<0.12168,-0,0.149999>	0.681536	1.5708	0.0965735
204	<4.2,0,1.9583>,<4.2,3,1.9583>,<4.25,0,1.86079>,1	<-0.29253,0,-0.150001>	1.09699	1.5708	0.164373
205	<4.2,3,1.9583>,<4.25,0,1.86079>,<4.25,3,1.86079>,1	<0.29253,-0,0.150001>	1.09699	1.5708	0.164373
206	<4.25,0,1.86079>,<4.25,3,1.86079>,<4.3,0,1.70917>,1	<-0.45486,0,-0.150001>	1.25225	1.5708	0.239477
207	<4.25,3,1.86079>,<4.3,0,1.70917>,<4.3,3,1.70917>,1	<0.45486,-0,0.150001>	1.25225	1.5708	0.239477
208	<4.3,0,1.70917>,<4.3,3,1.70917>,<4.35,0,1.50785>,1	<-0.60396,0,-0.149999>	1.32736	1.5708	0.311154
209	<4.3,3,1.70917>,<4.35,0,1.50785>,<4.35,3,1.50785>,1	<0.60396,-0,0.149999>	1.32736	1.5708	0.311154
210	<4.35,0,1.50785>,<4.35,3,1.50785>,<4.4,0,1.26269>,1	<-0.73548,0,-0.150001>	1.36961	1.5708	0.37531
211	<4.35,3,1.50785>,<4.4,0,1.26269>,<4.4,3,1.26269>,1	<0.73548,-0,0.150001>	1.36961	1.5708	0.37531
212	<4.4,0,1.26269>,<4.4,3,1.26269>,<4.45,0,0.980799>,1	<-0.845673,0,-0.149999>	1.39525	1.5708	0.429436
213	<4.4,3,1.26269>,<4.45,0,0.980799>,<4.45,3,0.980799>,1	<0.845673,-0,0.149999>	1.39525	1.5708	0.429436
214	<4.45,0,0.980799>,<4.45,3,0.980799>,<4.5,0,0.670392>,1	<-0.931221,0,-0.150001>	1.41109	1.5708	0.471612
215	<4.45,3,0.980799>,<4.5,0,0.670392>,<4.5,3,0.670392>,1	<0.931221,-0,0.150001>	1.41109	1.5708	0.471612
216	<4.5,0,0.670392>,<4.5,3,0.670392>,<4.55,0,0.34049>,1	<-0.989706,0,-0.150001>	1.42038	1.5708	0.500504
217	<4.5,3,0.670392>,<4.55,0,0.34049>,<4.55,3,0.34049>,1	<0.989706,-0,0.150001>	1.42038	1.5708	0.500504
218	<4.55,0,0.34049>,<4.55,3,0.34049>,<4.6,0,0.000686536>,1	<-1.01941,0,-0.149999>	1.4247	1.5708	0.515194
219	<4.55,3,0.34049>,<4.6,0,0.000686536>,<4.6,3,0.000686536>,1	<1.01941,-0,0.149999>	1.4247	1.5708	0.515194
220	<4.6,0,0.000686536>,<4.6,3,0.000686536>,<4.65,0,-0.339137>,1	<-1.01947,0,-0.150001>	1.42471	1.5708	0.515223
221	<4.6,3,0.000686536>,<4.65,0,-0.339137>,<4.65,3,-0.339137>,1	<1.01947,-0,0.150001>	1.42471	1.5708	0.515223
