#tr	v1,v2,v3,direction	plane	beta(rad)	Z_S(rad)	Area(m^2)
39	<0.05,3,0.339813>,<0.1,0,0.669745>,<0.1,3,0.669745>,-1	<-0.989796,-0,0.15>	1.42039	-1.5708	0.500549
40	<0.1,0,0.669745>,<0.1,3,0.669745>,<0.15,0,0.980201>,-1	<0.931368,-0,-0.15>	1.41111	-1.5708	0.471685
41	<0.1,3,0.669745>,<0.15,0,0.980201>,<0.15,3,0.980201>,-1	<-0.931368,-0,0.15>	1.41111	-1.5708	0.471685
42	<0.15,0,0.980201>,<0.15,3,0.980201>,<0.2,0,1.26215>,-1	<0.845847,-0,-0.15>	1.39528	-1.5708	0.429522
43	<0.15,3,0.980201>,<0.2,0,1.26215>,<0.2,3,1.26215>,-1	<-0.845847,-0,0.15>	1.39528	-1.5708	0.429522
44	<0.2,0,1.26215>,<0.2,3,1.26215>,<0.25,0,1.5074>,-1	<0.73575,-0,-0.15>	1.36968	-1.5708	0.375442
45	<0.2,3,1.26215>,<0.25,0,1.5074>,<0.25,3,1.5074>,-1	<-0.73575,-0,0.15>	1.36968	-1.5708	0.375442
46	<0.25,0,1.5074>,<0.25,3,1.5074>,<0.3,0,1.70882>,-1	<0.60426,-0,-0.15>	1.32748	-1.5708	0.3113
47	<0.25,3,1.5074>,<0.3,0,1.70882>,<0.3,3,1.70882>,-1	<-0.60426,-0,0.15>	1.32748	-1.5708	0.3113
48	<0.3,0,1.70882>,<0.3,3,1.70882>,<0.35,0,1.86054>,-1	<0.45516,-0,-0.15>	1.25245	-1.5708	0.23962
49	<0.3,3,1.70882>,<0.35,0,1.86054>,<0.35,3,1.86054>,-1	<-0.45516,-0,0.15>	1.25245	-1.5708	0.23962
50	<0.35,0,1.86054>,<0.35,3,1.86054>,<0.4,0,1.95816>,-1	<0.29286,-0,-0.15>	1.09744	-1.5708	0.16452
51	<0.35,3,1.86054>,<0.4,0,1.95816>,<0.4,3,1.95816>,-1	<-0.29286,-0,0.15>	1.09744	-1.5708	0.16452
52	<0.4,0,1.95816>,<0.4,3,1.95816>,<0.45,0,1.99883>,-1	<0.12201,-0,-0.15>	0.682858	-1.5708	0.0966778
53	<0.4,3,1.95816>,<0.45,0,1.99883>,<0.45,3,1.99883>,-1	<-0.12201,-0,0.15>	0.682858	-1.5708	0.0966778
54	<0.45,0,1.99883>,<0.45,3,1.99883>,<0.5,0,1.98138>,1	<-0.0523499,0,-0.15>	0.335783	1.5708	0.0794363
55	<0.45,3,1.99883>,<0.5,0,1.98138>,<0.5,3,1.98138>,1	<0.0523499,-0,0.15>	0.335783	1.5708	0.0794363
56	<0.5,0,1.98138>,<0.5,3,1.98138>,<0.55,0,1.90631>,1	<-0.22521,0,-0.15>	0.983224	1.5708	0.135296
57	<0.5,3,1.98138>,<0.55,0,1.90631>,<0.55,3,1.90631>,1	<0.22521,-0,0.15>	0.983224	1.5708	0.135296
58	<0.55,0,1.90631>,<0.55,3,1.90631>,<0.6,0,1.77581>,1	<-0.3915,0,-0.15>	1.20491	1.5708	0.209626
59	<0.55,3,1.90631>,<0.6,0,1.77581>,<0.6,3,1.77581>,1	<0.3915,-0,0.15>	1.20491	1.5708	0.209626
60	<0.6,0,1.77581>,<0.6,3,1.77581>,<0.65,0,1.59367>,1	<-0.54642,0,-0.15>	1.30288	1.5708	0.283317
