1.5 0 4,4.5 0 0,4.48501 0.2995 0
1.5 0 4,4.48501 0.2995 0,4.4402 0.596008 0
1.5 0 4,4.4402 0.596008 0,4.36601 0.886561 0
1.5 0 4,4.36601 0.886561 0,4.26318 1.16826 0
1.5 0 4,4.26318 1.16826 0,4.13275 1.43828 0
1.5 0 4,4.13275 1.43828 0,3.97601 1.69393 0
1.5 0 4,3.97601 1.69393 0,3.79453 1.93265 0
1.5 0 4,3.79453 1.93265 0,3.59012 2.15207 0
1.5 0 4,3.59012 2.15207 0,3.36483 2.34998 0
1.5 0 4,3.36483 2.34998 0,3.12091 2.52441 0
1.5 0 4,3.12091 2.52441 0,2.86079 2.67362 0
1.5 0 4,2.86079 2.67362 0,2.58707 2.79612 0
1.5 0 4,2.58707 2.79612 0,2.3025 2.89067 0
1.5 0 4,2.3025 2.89067 0,2.0099 2.95635 0
1.5 0 4,2.0099 2.95635 0,1.71221 2.99248 0
1.5 0 4,1.71221 2.99248 0,1.4124 2.99872 0
1.5 0 4,1.4124 2.99872 0,1.11347 2.97499 0
1.5 0 4,1.11347 2.97499 0,0.818394 2.92154 0
1.5 0 4,0.818394 2.92154 0,0.530131 2.8389 0
1.5 0 4,0.530131 2.8389 0,0.251559 2.72789 0
1.5 0 4,0.251559 2.72789 0,-0.0145383 2.58963 0
1.5 0 4,-0.0145383 2.58963 0,-0.265503 2.42549 0
1.5 0 4,-0.265503 2.42549 0,-0.498828 2.23712 0
1.5 0 4,-0.498828 2.23712 0,-0.712181 2.02639 0
1.5 0 4,-0.712181 2.02639 0,-0.903431 1.79542 0
1.5 0 4,-0.903431 1.79542 0,-1.07067 1.5465 0
1.5 0 4,-1.07067 1.5465 0,-1.21222 1.28214 0
1.5 0 4,-1.21222 1.28214 0,-1.32667 1.00496 0
1.5 0 4,-1.32667 1.00496 0,-1.41287 0.717748 0
1.5 0 4,-1.41287 0.717748 0,-1.46998 0.42336 0
1.5 0 4,-1.46998 0.42336 0,-1.49741 0.124742 0
1.5 0 4,-1.49741 0.124742 0,-1.49488 -0.175122 0
1.5 0 4,-1.49488 -0.175122 0,-1.46244 -0.473237 0
1.5 0 4,-1.46244 -0.473237 0,-1.40039 -0.766623 0
1.5 0 4,-1.40039 -0.766623 0,-1.30937 -1.05235 0
1.5 0 4,-1.30937 -1.05235 0,-1.19028 -1.32756 0
1.5 0 4,-1.19028 -1.32756 0,-1.0443 -1.58951 0
1.5 0 4,-1.0443 -1.58951 0,-0.872903 -1.83557 0
1.5 0 4,-0.872903 -1.83557 0,-0.677797 -2.0633 0
1.5 0 4,-0.677797 -2.0633 0,-0.460931 -2.27041 0
1.5 0 4,-0.460931 -2.27041 0,-0.224472 -2.45483 0
1.5 0 4,-0.224472 -2.45483 0,0.0292175 -2.61473 0
1.5 0 4,0.0292175 -2.61473 0,0.297602 -2.7485 0
1.5 0 4,0.297602 -2.7485 0,0.578001 -2.85481 0
1.5 0 4,0.578001 -2.85481 0,0.867613 -2.93259 0
1.5 0 4,0.867613 -2.93259 0,1.16354 -2.98107 0
1.5 0 4,1.16354 -2.98107 0,1.46283 -2.99977 0
1.5 0 4,1.46283 -2.99977 0,1.7625 -2.98849 0
1.5 0 4,1.7625 -2.98849 0,2.05954 -2.94736 0
1.5 0 4,2.05954 -2.94736 0,2.35099 -2.87677 0
1.5 0 4,2.35099 -2.87677 0,2.63393 -2.77744 0
1.5 0 4,2.63393 -2.77744 0,2.90555 -2.65036 0
1.5 0 4,2.90555 -2.65036 0,3.16312 -2.4968 0
1.5 0 4,3.16312 -2.4968 0,3.40408 -2.31829 0
1.5 0 4,3.40408 -2.31829 0,3.62601 -2.11662 0
1.5 0 4,3.62601 -2.11662 0,3.8267 -1.8938 0
1.5 0 4,3.8267 -1.8938 0,4.00414 -1.65206 0
1.5 0 4,4.00414 -1.65206 0,4.15656 -1.39381 0
1.5 0 4,4.15656 -1.39381 0,4.28244 -1.12163 0
1.5 0 4,4.28244 -1.12163 0,4.38051 -0.838246 0
1.5 0 4,4.38051 -0.838246 0,4.44981 -0.546488 0
1.5 0 4,4.44981 -0.546488 0,4.48963 -0.249268 0
1.5 0 4,4.48963 -0.249268 0,4.49958 0.0504417 0
