-0.9 0 -0.136619,-0.9 3 -0.136619,-0.85 0 -0.473652, 1
-0.9 3 -0.136619,-0.85 0 -0.473652,-0.85 3 -0.473652, 1
-0.85 0 -0.473652,-0.85 3 -0.473652,-0.8 0 -0.796912, 1
-0.85 3 -0.473652,-0.8 0 -0.796912,-0.8 3 -0.796912, 1
-0.8 0 -0.796912,-0.8 3 -0.796912,-0.75 0 -1.097, 1
-0.8 3 -0.796912,-0.75 0 -1.097,-0.75 3 -1.097, 1
-0.75 0 -1.097,-0.75 3 -1.097,-0.7 0 -1.36518, 1
-0.75 3 -1.097,-0.7 0 -1.36518,-0.7 3 -1.36518, 1
-0.7 0 -1.36518,-0.7 3 -1.36518,-0.65 0 -1.59367, 1
-0.7 3 -1.36518,-0.65 0 -1.59367,-0.65 3 -1.59367, 1
-0.65 0 -1.59367,-0.65 3 -1.59367,-0.6 0 -1.77581, 1
-0.65 3 -1.59367,-0.6 0 -1.77581,-0.6 3 -1.77581, 1
-0.6 0 -1.77581,-0.6 3 -1.77581,-0.55 0 -1.90631, 1
-0.6 3 -1.77581,-0.55 0 -1.90631,-0.55 3 -1.90631, 1
-0.55 0 -1.90631,-0.55 3 -1.90631,-0.5 0 -1.98138, 1
-0.55 3 -1.90631,-0.5 0 -1.98138,-0.5 3 -1.98138, 1
-0.5 0 -1.98138,-0.5 3 -1.98138,-0.45 0 -1.99883, 1
-0.5 3 -1.98138,-0.45 0 -1.99883,-0.45 3 -1.99883, 1
-0.45 0 -1.99883,-0.45 3 -1.99883,-0.4 0 -1.95816, -1
-0.45 3 -1.99883,-0.4 0 -1.95816,-0.4 3 -1.95816, -1
-0.4 0 -1.95816,-0.4 3 -1.95816,-0.35 0 -1.86054, -1
-0.4 3 -1.95816,-0.35 0 -1.86054,-0.35 3 -1.86054, -1
-0.35 0 -1.86054,-0.35 3 -1.86054,-0.3 0 -1.70882, -1
-0.35 3 -1.86054,-0.3 0 -1.70882,-0.3 3 -1.70882, -1
-0.3 0 -1.70882,-0.3 3 -1.70882,-0.25 0 -1.5074, -1
-0.3 3 -1.70882,-0.25 0 -1.5074,-0.25 3 -1.5074, -1
-0.25 0 -1.5074,-0.25 3 -1.5074,-0.2 0 -1.26215, -1
-0.25 3 -1.5074,-0.2 0 -1.26215,-0.2 3 -1.26215, -1
-0.2 0 -1.26215,-0.2 3 -1.26215,-0.15 0 -0.980201, -1
-0.2 3 -1.26215,-0.15 0 -0.980201,-0.15 3 -0.980201, -1
-0.15 0 -0.980201,-0.15 3 -0.980201,-0.1 0 -0.669745, -1
-0.15 3 -0.980201,-0.1 0 -0.669745,-0.1 3 -0.669745, -1
-0.1 0 -0.669745,-0.1 3 -0.669745,-0.05 0 -0.339813, -1
-0.1 3 -0.669745,-0.05 0 -0.339813,-0.05 3 -0.339813, -1
-0.05 0 -0.339813,-0.05 3 -0.339813,2.08167e-16 0 1.42165e-15, -1
-0.05 3 -0.339813,2.08167e-16 0 1.42165e-15,2.08167e-16 3 1.42165e-15, -1
2.08167e-16 0 1.42165e-15,2.08167e-16 3 1.42165e-15,0.05 0 0.339813, -1
2.08167e-16 3 1.42165e-15,0.05 0 0.339813,0.05 3 0.339813, -1
0.05 0 0.339813,0.05 3 0.339813,0.1 0 0.669745, -1
0.05 3 0.339813,0.1 0 0.669745,0.1 3 0.669745, -1
0.1 0 0.669745,0.1 3 0.669745,0.15 0 0.980201, -1
0.1 3 0.669745,0.15 0 0.980201,0.15 3 0.980201, -1
0.15 0 0.980201,0.15 3 0.980201,0.2 0 1.26215, -1
0.15 3 0.980201,0.2 0 1.26215,0.2 3 1.26215, -1
0.2 0 1.26215,0.2 3 1.26215,0.25 0 1.5074, -1
0.2 3 1.26215,0.25 0 1.5074,0.25 3 1.5074, -1
0.25 0 1.5074,0.25 3 1.5074,0.3 0 1.70882, -1
0.25 3 1.5074,0.3 0 1.70882,0.3 3 1.70882, -1
